"ID","Title","State","Type","Assigned To","Priority"
"18","Opt-in telemetry for the CLI","Active","Feature","","Medium"
"17","CLI crashes on Windows path separators","Active","Bug","","Medium"
"16","Python: auto-pagination for list endpoints","Active","Feature","","Medium"
"15","SDK quickstart docs","Active","Task","","Medium"
"14","Add CI matrix for Node 18/20/22","Active","Task","","Medium"
"13","Incorrect nullable types in generated TS","Active","Bug","","Medium"
"12","OpenAPI: generate TypeScript types from spec","Active","Feature","","Medium"
"11","CLI: shell completion scripts","Active","Feature","","Medium"
"10","Python SDK retries non-idempotent requests","Active","Bug","","Medium"
"9","Webhook signature validation fails on Node 20","Active","Bug","","Medium"
"8","CLI: `acmeflow init` scaffolding","Active","Feature","","Medium"
"7","Python: async client support","Active","Feature","","Medium"
"6","TS: OAuth device-code auth helper","Active","Feature","","Medium"
"5","OpenAPI spec & code generation","Active","Feature","","Medium"
"4","AcmeFlow CLI","Active","Feature","","Medium"
"3","Python SDK","Active","Feature","","Medium"
"2","TypeScript SDK","Active","Feature","","Medium"
"1","Official AcmeFlow SDKs & CLI","Active","Epic","","Medium"
